Empresa,Sector,anio,ingresos,costos,utilidad_neta,activo_corriente,pasivo_corriente,activo_total,deuda_total,patrimonio
Empresa K  ,RETAIL,2025,3.260.469.708,50.472.465.575,3.260.469.708,19.616.280.486,16794516670,74574800253,36473434379,38101365874
Empresa L,Servicios,2022,14164541601,13.021.504.186,1143037415,3.491.539.646,2795480997,11637826517,5726904103,14164541601
Empresa L,servicios,2023,14.691.341.704,14039892117,651.449.586,14.691.341.704,3.794.761.655,19978062244,10.541.774.160,9.436.288.084
Empresa L,Servicios,2024,15195436445,13976827258,1218609187,6685139377,5.051.661.525,15380929885,8883163966,8883163966
Empresa L,SERVICIOS,2025,16091260318,14.740.065.181,1351195137,6041585209,5170926839,15.158.649.478,6041585209,5756481515
Empresa F,retail,2023,72.997.786.565,67.452.198.784,32.438.733.274,45399740310,32.438.733.274,99083406592,62087632298,36995774294
Empresa M,Tecnología,2025,6068861171,6173562324,-104701153,3108329319,3698790347,8375838381,7.247.266.094,1128572286
Empresa H  ,Tecnología,2025,16.042.665.630,16.042.665.630,1.094.437.409,8614692643,7083011289,21782588043,13513383559,8269204484
 Empresa D ,MANUFACTURA,2024,42.641.912.550,39.733.273.850,24567554537,18.814.553.400,12776869033,48.267.896.213,24567554537,23700341676
Empresa L,servicios,2023,14.691.341.704,14039892117,651.449.586,14.691.341.704,3.794.761.655,19978062244,10.541.774.160,9.436.288.084
Empresa A,Retail,2024,31.960.194.025,28.486.461.321,26323295848,13181284285,8143108251,41089887887,14.766.592.039,26323295848
Empresa M,tecnología,2022,-114357224,6.718.887.343,-114357224,4112716413,4.119.731.130,8462655778,7453999599,1008656179
 Empresa M ,Tecnología,2023,6452598377,6.611.319.341,2376243729,2376243729,2383823865,8.538.723.882,5877155631,2.661.568.251
Empresa M,Tecnología,2024,6197736239,6317754482,-120018243,2102318808,2069109456,7915793965,5813475157,2102318808
Empresa M,Tecnología,2025,6068861171,6173562324,-104701153,3108329319,3698790347,8375838381,7.247.266.094,1128572286
Empresa N,Servicios,2022,70544443813,67472541567,3071902246,32782033562,24.621.672.681,67491923497,70544443813,26172602715
Empresa N,Servicios,2023,72063285998,66629138428,5434147570,36.542.220.287,28.656.213.351,91654188032,48076138708,72063285998
Empresa N,SERVICIOS,2024,67.017.329.857,67.017.329.857,6820574469,18634918409,14614906655,61.036.768.639,30448985379,30587783260
Empresa N,Servicios,2025,77696705310,27513150365,6251787714,32516243436,27513150365,96.516.604.532,60095428237,36421176295
 Empresa O ,Manufactura,2022,56122091618,50936263158,5.185.828.461,23983949229,19.464.152.446,67354128093,37123925909,30230202184
Empresa O,Manufactura,2023,58489124965,55.404.230.403,3084894562,19066274994,13.650.236.733,58489124965,34688690237,25408135032
 Empresa O ,manufactura,2024,60990366199,57041837117,23661508540,23512600005,19808904438,59912359620,36250851080,23661508540
Empresa O,manufactura,2025,3824338640,59865855337,3824338640,29.677.500.461,22752575347,76770652905,41486453391,35.284.199.514
Empresa P,Tecnología,2022,27507608830,25398363755,2.109.245.075,18.214.563.957,7788636182,37718427657,18.214.563.957,19503863700
  Empresa P,Tecnología,2023,28945225671,27.490.675.346,1.454.550.325,13925617360,10.365.974.407,40.244.330.672,28945225671,21.123.232.458
Empresa P,Tecnología,2024,30051415135,27.297.994.285,2.753.420.850,11746909913,30051415135,36993518898,20.808.325.314,16.185.193.584
Empresa P,Tecnología,2025,30829832548,28347819685,2482012863,19705580936,13.586.950.215,40580209168,24948260992,15631948175
Empresa Q,Tecnología,2022,84670199227,77081678416,7588520811,37021467116,19742853027,110833443906,35.872.997.435,37021467116
Empresa Q,Tecnología,2023,94556103150,76.151.329.288,18404773862,49.822.915.014,23466918732,129.544.108.447,46638792934,82905315514
Empresa Q,tecnología,2024,106.085.082.595,91.176.399.126,14.908.683.468,52494847710,106.085.082.595,119740690755,46065412740,73675278015
 Empresa Q ,Tecnología,2025,13159445571,103265478837,13159445571,43.884.695.823,21391372469,137683750271,44535209605,93.148.540.667
  Empresa R,Tecnología,2022,11660722008,10.326.361.194,1.334.360.814,2997717552,1.769.741.398,13107716552,4339565226,10.326.361.194
Empresa R,Tecnología,2023,13.052.953.693,10923769672,2.129.184.021,3623565397,1883067783,,4148242105,9.486.346.268
Empresa R,tecnología,2024,13.975.581.349,12143996525,1831584823,7161667179,3560453372,16078174699,,9767361858
Empresa R,Tecnología,2025,15744323344,13.751.049.889,1993273455,5465869627,2673475618,15918381272,4745573320,11172807953
Empresa S  ,SERVICIOS,2022,63222310490,57.388.317.814,14934197551,19330830948,14934197551,60931209006,33393828246,27537380760
Empresa S,Servicios,2023,66178266128,60440877142,30155973207,44136922659,30155973207,86316537374,50666937999,35649599375
Empresa S,Servicios,2024,68915726479,62.521.172.927,6394553552,24265004796,21327381687,82.547.247.122,46.652.592.700,35894654421
Empresa S,Servicios,2025,72683628645,72422810724,3792401007,20.590.821.576,16.057.315.692,72422810724,36966470508,35456340216
Empresa T,servicios,2022,83.375.563.352,68575565228,14799998124,34944080028,21246621305,104.170.642.521,36134943508,68035699014
Empresa T,servicios,2023,89413806458,29330052912,8.197.927.868,19720781121,12.078.726.615,73.690.825.158,29330052912,44360772245
 Empresa T ,Servicios,2024,101.388.361.345,85816164136,15572197208,34963916683,20809353286,109918837055,34963916683,74464821859
Empresa T,SERVICIOS,2025,111172682767,98.643.599.905,12529082862,49851913534,23033428857,129353375874,43.493.002.118,98.643.599.905
