empresa,sector,anio,ingresos,costos,utilidad_neta,activo_corriente,pasivo_corriente,activo_total,deuda_total,patrimonio
Empresa R,Tecnologia,2022,11660722008,10326361194,1334360814,2997717552,1769741398,13107716552,4339565226,8768151325
Empresa R,Tecnologia,2023,13052953693,10923769672,2129184021,3623565397,1883067783,13634588373,4148242105,9486346268
Empresa R,Tecnologia,2024,13975581349,12143996525,1831584823,7161667179,3560453372,16078174699,6310812842,9767361858
Empresa R,Tecnologia,2025,15744323344,13751049889,1993273455,5465869627,2673475618,15918381272,4745573320,11172807953
Empresa S,Servicios,2022,63222310490,57388317814,5833992675,19330830948,14934197551,60931209006,33393828246,27537380760
Empresa S,Servicios,2023,66178266128,60440877142,5737388986,44136922659,30155973207,86316537374,50666937999,35649599375
Empresa S,Servicios,2024,68915726479,62521172927,6394553552,24265004796,21327381687,82547247122,46652592700,35894654421
Empresa S,Servicios,2025,72683628645,68891227638,3792401007,20590821576,16057315692,72422810724,36966470508,35456340216
Empresa T,Servicios,2022,83375563352,68575565228,14799998124,34944080028,21246621305,104170642521,36134943508,68035699014
Empresa T,Servicios,2023,89413806458,81215878590,8197927868,19720781121,12078726615,73690825158,29330052912,44360772245
Empresa T,Servicios,2024,101388361345,85816164136,15572197208,34963916683,20809353286,109918837055,35454015197,74464821859
Empresa T,Servicios,2025,111172682767,98643599905,12529082862,49851913534,23033428857,129353375874,43493002118,85860373757
