producto_a,producto_b,soporte,confianza_a_b,lift,boletas
Cloro,Jugo naranja,0.01,0.067,0.66,50
Papas fritas,Queso,0.0244,0.137,0.66,122
Bebida cola,Mantequilla,0.0134,0.13,0.66,67
Jugo naranja,Maní,0.01,0.098,0.65,50
Croissant,Mantequilla,0.0118,0.128,0.65,59
Azúcar,Cerveza,0.016,0.079,0.64,80
Jugo naranja,Papas fritas,0.0116,0.114,0.64,58
Pan molde,Papas fritas,0.012,0.115,0.64,60
Esponjas,Maní,0.0132,0.098,0.64,66
Bebida cola,Toallitas húmedas,0.0104,0.101,0.63,52
Cloro,Toallitas húmedas,0.015,0.101,0.63,75
Cerveza,Esponjas,0.01,0.082,0.61,50
Croissant,Queso,0.0114,0.124,0.6,57
Papas fritas,Vino tinto,0.0104,0.058,0.58,52
